=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.09.18 18:44:53 =~=~=~=~=~=~=~=~=~=~=~=
dumping log in 3 seconds!:
149249846, 13, 125148, 131021, 130703, 149249790, 2.40
149250492, 14, 125148, 131021, 130703, 149250444, 2.41
149251113, 14, 125148, 131021, 130703, 149251065, 2.42
149251735, 20, 125148, 131021, 130703, 149251686, 2.43
149252353, 22, 125148, 131021, 130703, 149252305, 2.44
149252976, 22, 125148, 131021, 130703, 149252927, 2.45
149253594, 11, 125148, 131021, 130703, 149253546, 2.46
149254216, 11, 125148, 131021, 130703, 149254167, 2.47
149254837, 14, 125148, 131021, 130703, 149254788, 2.48
149255454, 10, 125148, 131021, 130703, 149255405, 2.49
149256077, 10, 125148, 131021, 130703, 149256029, 2.49
149256698, 19, 125148, 131021, 130703, 149256649, 2.50
149257316, 11, 125148, 131021, 130703, 149257267, 2.51
149257964, 11, 125148, 131021, 130703, 149257915, 2.52
149259098, 8, 125159, 131046, 130685, 149259044, 2.54
149259749, 13, 125159, 131046, 130685, 149259701, 2.54
149260369, 16, 125159, 131046, 130685, 149260320, 2.55
149260979, 0, 125159, 131046, 130685, 149260940, 2.56
149261597, 15, 125159, 131046, 130685, 149261548, 2.56
149262218, 12, 125159, 131046, 130685, 149262169, 2.57
149262839, 12, 125159, 131046, 130685, 149262791, 2.58
149263457, 9, 125159, 131046, 130685, 149263408, 2.59
149264078, 9, 125159, 131046, 130685, 149264030, 2.60
149264699, 9, 125159, 131046, 130685, 149264650, 2.60
149265317, 5, 125159, 131046, 130685, 149265269, 2.61
149265938, 13, 125159, 131046, 130685, 149265889, 2.62
149266556, 13, 125159, 131046, 130685, 149266508, 2.63
149267177, 15, 125159, 131046, 130685, 149267128, 2.63
149267826, 12, 125159, 131046, 130685, 149267777, 2.64
149268958, 12, 125220, 131090, 130945, 149268900, 2.66
149269603, 12, 125220, 131090, 130945, 149269554, 2.67
149270225, 14, 125220, 131090, 130945, 149270176, 2.68
149270845, 12, 125220, 131090, 130945, 149270795, 2.69
149271463, 12, 125220, 131090, 130945, 149271414, 2.69
149272083, 16, 125220, 131090, 130945, 149272033, 2.70
149272704, 19, 125220, 131090, 130945, 149272655, 2.71
149273320, 19, 125220, 131090, 130945, 149273270, 2.72
149273942, 19, 125220, 131090, 130945, 149273893, 2.74
149274558, 14, 125220, 131090, 130945, 149274508, 2.74
149275179, 14, 125220, 131090, 130945, 149275130, 2.75
149275796, 10, 125220, 131090, 130945, 149275746, 2.76
149276414, 10, 125220, 131090, 130945, 149276365, 2.77
149277034, 14, 125220, 131090, 130945, 149276984, 2.78
149277795, 13, 125173, 131062, 130677, 149277743, 2.79
149278425, 9, 125173, 131062, 130677, 149278375, 2.80
149279049, 9, 125173, 131062, 130677, 149279000, 2.81
149279668, 10, 125173, 131062, 130677, 149279614, 2.81
149280286, 10, 125173, 131062, 130677, 149280237, 2.82
149280906, 5, 125173, 131062, 130677, 149280856, 2.83
149281524, 20, 125173, 131062, 130677, 149281475, 2.84
149282143, 20, 125173, 131062, 130677, 149282094, 2.85
149282764, 14, 125173, 131062, 130677, 149282715, 2.86
149283379, 14, 125173, 131062, 130677, 149283329, 2.87
149284001, 14, 125173, 131062, 130677, 149283952, 2.87
149284620, 20, 125173, 131062, 130677, 149284567, 2.88
149285237, 9, 125173, 131062, 130677, 149285188, 2.89
149285855, 9, 125173, 131062, 130677, 149285806, 2.90
149286473, 11, 125173, 131062, 130677, 149286424, 2.91
